Category,Nationality,FTA - 2001,FTA - 2002,FTA - 2003,FTA - 2004,FTA - 2005,FTA - 2006,FTA - 2007,FTA - 2008,FTA - 2009,FTA - 2010,FTA - 2011,FTA - 2012,FTA - 2013,FTA - 2014,FTA - 2015,FTA - 2016,FTA - 2017,FTA - 2018,FTA - 2019,FTA - 2020,FTA - 2021,FTA - 2022,FTA - 2023
Eastern Europe,Others,"3,514.00","3,738.00","4,506.00","5,153.00","6,077.00","7,928.00","7,946.00","10,607.00","11,565.00","12,603.00","18,223.00","17,615.00","18,265.00","19,432.00","31,858.00","36,420.00",,,,,,,
Eastern Europe,Total,"38,863.00","40,628.00","55,252.00","82,426.00","101,445.00","121,309.00","152,764.00","191,110.00","183,475.00","227,650.00","274,598.00","312,686.00","405,083.00","422,278.00","331,051.00","405,986.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
Africa,Egypt,"2,479.00","2,688.00","3,382.00","3,781.00","4,048.00","5,528.00","6,328.00","5,326.00","5,869.00","8,017.00","8,791.00","10,571.00","15,062.00","16,715.00","19,168.00","20,864.00","20,528.00","20,486.00","1,997.71",500.80,277.82,"1,177.06","1,688.83"
Africa,Ethiopia,"2,897.00","2,535.00","2,301.00","2,661.00","3,248.00","3,140.00","3,588.00","3,306.00","3,936.00","3,797.00","6,411.00","11,795.00","14,899.00","13,133.00","14,547.00","20,555.00","23,215.00","24,277.00","2,367.40",593.47,329.23,"1,394.88","2,001.35"
Africa,Kenya,"15,973.00","17,275.00","16,563.00","17,538.00","19,816.00","20,313.00","25,397.00","14,941.00","22,704.00","29,223.00","30,045.00","34,037.00","40,484.00","46,158.00","46,139.00","44,783.00","46,011.00","48,845.00","4,763.17","1,194.06",662.40,"2,806.48","4,026.69"
Africa,Mali,85.00,54.00,57.00,"2,541.00",114.00,162.00,238.00,232.00,273.00,495.00,815.00,845.00,723.00,844.00,899.00,779.00,,,,,,,
Africa,Mauritius,"16,039.00","14,425.00","16,308.00","19,823.00","19,760.00","20,607.00","21,522.00","19,713.00","18,866.00","21,672.00","22,091.00","25,013.00","27,418.00","27,945.00","32,533.00","34,280.00","37,706.00","42,096.00","4,105.04","1,029.08",570.87,"2,418.70","3,470.31"
Africa,Nigeria,"7,539.00","5,997.00","5,713.00","6,659.00","10,049.00","9,348.00","10,863.00","13,997.00","18,338.00","23,893.00","33,537.00","36,762.00","34,522.00","28,314.00","24,292.00","17,964.00",,,,,,,
Africa,South Africa,"21,162.00","18,238.00","23,873.00","32,148.00","39,229.00","41,954.00","46,042.00","42,337.00","44,308.00","55,688.00","58,430.00","50,161.00","58,023.00","56,246.00","51,922.00","52,636.00","57,060.00","58,613.00","5,715.71","1,432.85",794.87,"3,367.72","4,831.94"
Africa,Sudan,"2,323.00","1,899.00","2,025.00","2,487.00","3,660.00","4,355.00","4,381.00","3,473.00","4,987.00","7,418.00","8,414.00","9,626.00","8,778.00","11,896.00","13,704.00","17,093.00","22,762.00","34,712.00","3,384.98",848.57,470.74,"1,994.44","2,861.59"
Africa,Tanzania,"6,579.00","7,459.00","8,515.00","9,953.00","11,193.00","11,954.00","13,960.00","14,872.00","17,020.00","17,645.00","19,470.00","21,862.00","23,345.00","26,284.00","25,488.00","23,026.00",,,,,,,
Africa,Zambia,"1,290.00","1,126.00","1,383.00","1,468.00","1,848.00","2,069.00","2,814.00","1,995.00","2,249.00","2,621.00","2,944.00","3,408.00","3,853.00","3,834.00","3,512.00","3,696.00",,,,,,,
Africa,Others,"14,596.00","11,761.00","13,233.00","16,434.00","21,836.00","23,383.00","22,352.00","21,558.00","25,924.00","34,056.00","57,694.00","57,348.00","48,164.00","49,385.00","61,365.00","65,733.00",,,,,,,
Africa,Total,"90,962.00","83,457.00","93,353.00","115,493.00","134,801.00","142,813.00","157,485.00","141,750.00","164,474.00","204,525.00","232,386.00","261,428.00","275,271.00","280,754.00","293,569.00","301,409.00","10,035,803.00","10,557,976.00","1,029,572.10","258,099.50","143,179.29","606,628.03","870,379.34"
West Asia,Bahrein,"3,945.00","3,754.00","4,182.00","4,414.00","4,923.00","4,793.00","6,674.00","7,224.00","7,901.00","7,766.00","9,587.00","10,045.00","10,531.00","13,136.00","14,013.00","17,382.00",,,,,,,
West Asia,Israel,"28,774.00","25,503.00","32,157.00","39,083.00","42,866.00","42,735.00","47,553.00","42,720.00","40,581.00","43,456.00","48,089.00","47,649.00","48,737.00","49,312.00","50,134.00","59,231.00","58,131.00","67,366.00","6,569.27","1,646.82",913.57,"3,870.64","5,553.52"
West Asia,Jordan,"1,428.00","1,768.00","1,686.00","2,400.00","3,333.00","3,933.00","4,537.00","4,154.00","4,301.00","4,640.00","5,061.00","7,356.00","7,788.00","7,971.00","6,123.00","6,599.00",,,,,,,
